name,group,source,description
Khanmigo,student,manual,"AI-powered tutor and teaching assistant from Khan Academy. Guides students to answers through Socratic questioning rather than giving direct solutions, integrated tightly with Khan Academy's own exercise and video library. Primarily math-focused, with growing coverage of science and humanities. Free for teachers, small monthly fee for families."
Duolingo Max,student,manual,"AI-powered tier of the Duolingo language-learning app, adding features like Explain My Answer (a conversational breakdown of why an answer was right or wrong) and Roleplay (open-ended AI conversation practice with a simulated character). Sits on top of Duolingo's existing gamified lesson structure rather than replacing it."
CTAT (Cognitive Tutor Authoring Tools),student,readme,"An open-source authoring platform for building intelligent tutoring systems using rule-based cognitive modeling and example-tracing, developed out of Carnegie Mellon's PSLC. Lets researchers and instructors author step-based tutors without needing to hand-code an AI model from scratch. Long-established in the ITS research community, predating the current LLM-based tutoring wave."
ASSISTments,student,readme,"An open-source, NSF-funded online tutoring and homework platform used widely in K-12 math instruction. Combines auto-graded problem sets with immediate feedback and hint sequences, and has been a standard research platform for knowledge-tracing and learning-analytics studies for over a decade."
MagicSchool AI,teacher,manual,"An all-in-one AI platform for K-12 teachers offering 80+ purpose-built tools covering lesson planning, rubric generation, quiz and assessment creation, IEP drafting, differentiation, and parent communication drafts. One of the most widely adopted teacher-facing AI platforms as of 2026, deployed across thousands of schools, with a separate teacher-tuned chatbot (Raina) built in."
Gradescope,teacher,manual,"A grading and assessment platform (part of Turnitin) used widely in higher education, offering AI-assisted grouping of similar handwritten answers and rubric-based grading workflows to speed up instructor grading of exams and problem sets at scale."
Brisk Teaching,teacher,manual,"A Chrome extension that layers AI-assisted feedback, leveled reading passages, and lesson-adaptation tools directly on top of Google Docs and Google Classroom, rather than operating as its own destination platform. Positioned as a lighter-weight alternative to all-in-one platforms like MagicSchool."
Elicit,researcher,manual,"An AI research assistant focused on literature review workflows: given a research question, it searches a large corpus of academic papers, extracts key findings into a structured table, and helps summarize and compare results across studies. Positioned specifically against general-purpose chatbots' tendency to hallucinate citations, by grounding answers in retrieved real papers."
Consensus,researcher,manual,"A search engine layered over the academic literature (Semantic Scholar's corpus) that uses AI to extract and synthesize findings directly from papers in response to a research question, showing consensus/disagreement across studies rather than just a ranked list of links."
Semantic Scholar (AI features),researcher,manual,"A free academic search engine (Allen Institute for AI) offering AI-generated paper summaries (TLDRs), citation-context extraction, and influential-citation ranking, widely used as an underlying data source by newer research-assistant tools rather than being a standalone product itself."
SciSpace,researcher,manual,"An AI research platform combining paper discovery, a chat-with-PDF interface for querying a specific paper's content directly, and writing/formatting assistance for manuscript drafting, aimed at the full research reading-and-writing workflow rather than search alone."
